model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,none,2,2,1,0,9.551966,9.551966,0.0,5.907113,100.0,-1.0,-1.0,-1.164073,-1.164073,0.082036,0.0,0.0,0.0,0.5,5.0,1.0,,,1,0
reclaimed_ob,none,7,7,3,0,10.665788,8.457824,0.0,30.50689,99.571429,-1.0,-0.133333,-0.552439,-0.552439,0.179617,0.0,0.285714,0.285714,0.428571,1.571429,1.666667,1.0,1.0,2,0
reclaimed_ob,target_rr_below_2,1,1,0,0,,,0.0,0.501985,100.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,,,,0,1
reclaimed_ob,target_rr_below_3,1,1,0,0,,,0.0,2.93385,95.0,,,,,0.0,0.0,0.0,0.0,0.0,3.0,,,,0,1
