model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,long,24,24,24,0,2.686627,1.286603,0.291667,2.0,78.0,0.000587,0.167254,0.167254,0.291667,0.5,0.291667,0.625,1.0,9.6,9.75,15.428571,1,0
silver_bullet,short,32,32,32,0,2.203589,1.346428,0.25,2.0,78.0,-0.07772,0.07853,0.07853,0.25,0.4375,0.25,0.65625,1.0,8.761905,4.642857,4.5,1,0
