model,htf_location,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
reclaimed_ob,discount,2,2,1,1,3.70286,3.70286,0.0,10.003426,92.5,-1.0,0.5,0.5,0.0,0.5,0.5,0.5,2.0,3.0,1.0,1.0,0,1
reclaimed_ob,premium,1,1,1,0,6.556014,6.556014,1.0,2.198663,95.0,2.198663,1.599332,1.599332,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
rejection_block,discount,13,13,2,0,0.461802,0.461802,0.0,22.180997,97.923077,-0.477051,-0.477051,-0.477051,0.0,0.0,0.0,0.076923,4.272727,5.0,,,0,1
rejection_block,premium,10,10,1,0,0.296583,0.296583,0.0,22.809025,99.7,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.1,4.3,3.0,,,0,0
