scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,58,58,0,78.0,2.753275,1.640711,2.0,-0.054994,0.072371,-1.26128,-1.26128,1.333651,0.075659,0.206897,0.5,0.206897,0.637931,2,0,
model,silver_bullet,0,none,0,58,58,0,78.0,2.753275,1.640711,2.0,-0.054994,0.072371,-1.26128,-1.26128,1.333651,0.075659,0.206897,0.5,0.206897,0.637931,2,0,
