model,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,10:00-11:00,31,31,31,0,2.808814,1.306152,0.225806,2.0,78.0,0.001308,0.045579,-1.168212,-1.168212,1.213791,0.225806,0.483871,0.225806,0.612903,1.0,7.0,7.466667,11.142857,1,0
silver_bullet,14:00-15:00,27,27,27,0,2.689508,1.831326,0.185185,2.0,78.0,-0.119638,0.103132,-1.368135,-1.368135,1.471267,0.185185,0.518519,0.185185,0.666667,1.0,7.111111,4.857143,15.0,1,0
