model,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,1578,1345,233,892,686,3.145958,1.438951,4.1835,1.347368,0.788848,0.628996,0.3829,0.657795,0.507807,0.282528,4.847909,ETHUSDT,5m
Entry Model 2,2711,2280,431,1539,1172,3.563776,1.649455,3.566469,1.818868,0.785965,0.644298,0.442105,0.729251,0.466228,0.294737,4.879011,ETHUSDT,5m
