model,htf_location,count,valid_outcome_count,skipped_outcome_count,long_count,short_count,avg_mfe_r,median_mfe_r,avg_mae_r,median_mae_r,hit_0_5r_rate,hit_1r_rate,hit_2r_rate,invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,avg_score,best_symbol,best_timeframe
Entry Model 1,discount,675,561,114,473,202,2.823717,1.419169,4.896889,1.478534,0.787879,0.648841,0.377897,0.675556,0.511586,0.272727,4.900741,BTCUSDT,5m
Entry Model 1,equilibrium,205,182,23,129,76,4.34911,1.284519,6.817583,1.612456,0.78022,0.582418,0.384615,0.687805,0.483516,0.302198,4.765854,ETHUSDT,5m
Entry Model 1,premium,698,602,96,290,408,3.082509,1.496525,2.722345,1.220475,0.792359,0.624585,0.387043,0.631805,0.511628,0.285714,4.820917,BTCUSDT,5m
Entry Model 2,discount,1169,985,184,923,246,3.915496,1.625082,3.66816,1.823762,0.790863,0.647716,0.432487,0.736527,0.473096,0.290355,4.911891,ETHUSDT,5m
Entry Model 2,equilibrium,369,316,53,220,149,3.222126,1.825157,4.426682,2.00625,0.791139,0.661392,0.468354,0.750678,0.481013,0.310127,4.864499,ETHUSDT,5m
Entry Model 2,premium,1173,979,194,396,777,3.320178,1.615296,3.186496,1.678375,0.779367,0.635342,0.443309,0.71526,0.454545,0.294178,4.85081,BTCUSDT,5m
