scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,21,21,0,74.761905,2.628623,2.244792,1.77763,0.158428,0.332263,0.123239,0.123239,0.209023,0.0,0.209023,1.407328,0.52381,0.47619,0.095238,0.380952,3,17,target_rr_below_2:15;target_rr_below_3:2
model,turtle_soup,0,none,0,21,21,0,74.761905,2.628623,2.244792,1.77763,0.158428,0.332263,0.123239,0.123239,0.209023,0.0,0.209023,1.407328,0.52381,0.47619,0.095238,0.380952,3,17,target_rr_below_2:15;target_rr_below_3:2
filtered_model,turtle_soup,0,model_rules,10,11,11,0,71.818182,2.503776,1.020809,1.423508,0.150308,0.13153,-0.070953,-0.070953,0.202483,0.0,0.202483,0.841095,0.545455,0.454545,0.090909,0.363636,0,10,target_rr_below_2:10
filtered_all,ALL,0,model_rules,10,11,11,0,71.818182,2.503776,1.020809,1.423508,0.150308,0.13153,-0.070953,-0.070953,0.202483,0.0,0.202483,0.841095,0.545455,0.454545,0.090909,0.363636,0,10,target_rr_below_2:10
