model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,1h,12,12,12,0,2.046819,1.403013,0.416667,2.303478,76.666667,-0.023785,0.219,0.037815,0.037815,0.181185,0.0,0.181185,0.416667,0.5,0.083333,0.5,1.0,3.166667,7.0,5.0,2,8
turtle_soup,30m,9,9,9,0,3.404363,2.29764,0.666667,1.076498,72.222222,0.401378,0.483279,0.237139,0.237139,0.246141,0.0,0.246141,0.666667,0.444444,0.111111,0.222222,1.0,5.0,1.5,6.0,1,9
