model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,32,32,32,0,3.862956,2.000575,0.6875,1.385574,73.125,0.331249,0.422764,0.22409,0.22409,0.198673,0.0,0.198673,0.6875,0.53125,0.0625,0.28125,1.0,3.777778,2.882353,4.5,2,29
turtle_soup,valid,32,32,32,0,3.842808,2.788826,0.34375,2.430485,76.875,-0.265451,0.308388,0.059911,0.059911,0.248477,0.0,0.248477,0.34375,0.59375,0.28125,0.625,1.0,3.35,2.631579,3.444444,7,22
