model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,none,5,5,5,0,45.433077,33.024085,0.4,7.594709,100.0,2.902601,0.4,0.4,0.4,0.6,1.4,1.0,1.0,1.5,0,0
ifvg_retest,target_rr_below_2,6,6,6,0,1.512963,1.444697,0.666667,0.527054,100.0,-0.108171,0.666667,0.666667,0.166667,0.333333,4.666667,2.0,1.0,1.0,0,6
reclaimed_ob,none,1,1,1,0,12.01518,12.01518,1.0,8.42623,100.0,8.42623,1.0,1.0,1.0,0.0,2.0,,1.0,1.0,0,0
reclaimed_ob,target_rr_below_2,2,2,2,0,5.343611,5.343611,0.5,0.857505,81.0,-0.28096,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,0,2
reclaimed_ob,target_rr_below_3,1,1,1,0,28.538381,28.538381,1.0,2.373474,87.0,2.373474,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
rejection_block,none,6,6,6,0,8.740702,9.519803,0.333333,6.836221,99.0,0.802359,0.333333,0.5,0.5,0.666667,1.0,1.25,1.0,1.0,0,0
rejection_block,target_rr_below_2,17,17,17,0,2.519013,2.485762,0.764706,0.753988,86.764706,0.364767,0.764706,0.411765,0.117647,0.235294,1.0,1.0,1.285714,1.5,0,17
rejection_block,target_rr_below_3,2,2,2,0,5.680011,5.680011,0.0,2.461631,87.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0,2
