model,session_label,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,london_open,3,3,3,0,0.778729,1.044046,0.666667,1.077412,73.333333,0.077412,0.094844,0.094844,0.666667,0.333333,0.0,0.333333,1.0,3.0,30.0,,0,3
turtle_soup,ny_am,6,6,6,0,1.117354,0.494976,0.666667,0.238262,70.0,-0.251262,-0.251262,-0.251262,0.666667,0.0,0.0,0.333333,1.0,11.5,,,0,6
turtle_soup,ny_open,5,5,5,0,1.039625,0.817198,0.4,1.101919,72.0,0.121259,0.121259,0.121259,0.4,0.0,0.0,0.2,1.0,9.0,,,0,5
