model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,5,5,5,0,0.737225,0.805285,0.6,0.562844,67.0,-0.150289,-0.13983,-0.13983,0.6,0.2,0.0,0.4,1.0,14.5,30.0,,0,5
turtle_soup,valid,9,9,9,0,1.172479,0.817198,0.555556,0.817464,73.888889,0.009156,0.009156,0.009156,0.555556,0.0,0.0,0.222222,1.0,3.0,,,0,9
