model,displacement_grade,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,8,8,8,0,0.665767,0.674434,0.5,0.993731,73.75,0.084384,0.090921,0.090921,0.5,0.125,0.0,0.25,1.0,3.0,30.0,,0,8
turtle_soup,valid,6,6,6,0,1.485383,1.340118,0.666667,0.370259,68.333333,-0.224019,-0.224019,-0.224019,0.666667,0.0,0.0,0.333333,1.0,14.5,,,0,6
