model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,high,9,9,9,0,0.800121,0.817198,0.555556,0.91255,75.0,0.104242,0.110052,0.110052,0.555556,0.111111,0.0,0.222222,1.0,3.0,30.0,,0,9
turtle_soup,medium,5,5,5,0,1.40747,0.805285,0.6,0.39169,65.0,-0.321444,-0.321444,-0.321444,0.6,0.0,0.0,0.4,1.0,14.5,,,0,5
