model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,1h,15,15,15,0,3.562348,3.666389,0.8,1.604157,73.333333,0.785886,0.757883,0.546441,0.546441,0.211442,0.0,0.211442,0.8,0.8,0.466667,0.2,1.0,9.0,1.333333,1.571429,1,13
turtle_soup,30m,10,10,10,0,3.245877,2.447286,0.5,1.308117,71.0,0.227966,0.67642,0.463547,0.463547,0.212873,0.0,0.212873,0.5,0.8,0.2,0.4,1.0,5.75,3.375,1.0,1,10
