scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,25,25,0,72.4,3.435759,2.773947,1.485741,0.562718,0.725298,0.513284,0.513284,0.212014,0.0,0.212014,5.558868,0.68,0.8,0.36,0.28,2,23,target_rr_below_2:21;target_rr_below_3:2
model,turtle_soup,0,none,0,25,25,0,72.4,3.435759,2.773947,1.485741,0.562718,0.725298,0.513284,0.513284,0.212014,0.0,0.212014,5.558868,0.68,0.8,0.36,0.28,2,23,target_rr_below_2:21;target_rr_below_3:2
filtered_model,turtle_soup,0,model_rules,19,6,6,0,70.0,4.047297,4.785893,0.85016,0.85016,0.728041,0.578982,0.578982,0.149059,0.0,0.149059,102.733534,1.0,0.666667,0.333333,0.0,0,6,target_rr_below_2:6
filtered_all,ALL,0,model_rules,19,6,6,0,70.0,4.047297,4.785893,0.85016,0.85016,0.728041,0.578982,0.578982,0.149059,0.0,0.149059,102.733534,1.0,0.666667,0.333333,0.0,0,6,target_rr_below_2:6
