model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,48,48,48,0,2.902923,1.842503,0.3125,2.0,61.666667,0.139854,0.125693,-0.097635,-0.097635,0.223328,0.3125,0.541667,0.3125,0.583333,1.0,4.571429,4.384615,6.4,4,48
turtle_soup,valid,50,50,50,0,3.757009,2.461664,0.2,2.0,63.6,-0.317672,-0.144716,-0.483059,-0.483059,0.338343,0.2,0.42,0.2,0.76,1.0,2.026316,2.47619,5.8,7,50
