model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,1h,12,12,12,0,3.515647,3.068194,0.833333,1.438886,72.5,1.006678,0.779061,0.579937,0.579937,0.199124,0.0,0.199124,0.833333,0.833333,0.416667,0.166667,1.0,2.5,1.4,1.8,1,11
turtle_soup,30m,7,7,7,0,3.151455,1.716287,0.285714,1.423428,71.428571,-0.119646,0.537743,0.337416,0.337416,0.200327,0.0,0.200327,0.285714,0.714286,0.142857,0.571429,1.0,5.75,1.6,1.0,1,7
