model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,5,5,5,0,3.849741,4.514163,0.8,1.230056,72.0,0.5653,0.869747,0.725829,0.725829,0.143918,0.0,0.143918,0.8,0.8,0.2,0.2,1.0,12.0,1.75,1.0,0,5
turtle_soup,valid,14,14,14,0,3.214232,2.093143,0.571429,1.505739,72.142857,0.601151,0.626015,0.406573,0.406573,0.219442,0.0,0.219442,0.571429,0.785714,0.357143,0.357143,1.0,3.2,1.363636,1.8,2,13
