model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,1,1,1,0,1.071562,1.071562,1.0,0.019514,70.0,0.019514,0.019514,-0.034147,-0.034147,0.053661,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,valid,7,7,7,0,4.787924,4.671872,0.857143,2.433279,77.142857,1.420769,1.281813,1.031044,1.031044,0.250769,0.857143,1.0,0.857143,0.142857,1.0,22.0,1.142857,1.666667,0,5
