model,score_bucket,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,high,1183,1183,1183,0,11.369984,7.61017,0.254438,8.179249,72.290786,0.807493,0.382976,-0.288851,-0.288851,0.671638,0.000189,0.671827,0.254438,0.689772,0.553677,0.733728,1.0,2.974654,1.143382,1.276336,650,71
turtle_soup,medium,697,697,697,0,5.520074,3.56956,0.568149,1.619218,53.400287,0.370586,0.456722,0.136349,0.136349,0.320022,0.00035,0.320372,0.568149,0.674319,0.332855,0.427547,1.0,3.281879,1.514894,1.685345,104,697
