model,session_label,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,custom,610,610,610,0,7.612359,4.851685,0.385246,5.632829,65.04918,0.681217,0.414334,-0.128881,-0.128881,0.543269,-5.5e-05,0.543214,0.385246,0.681967,0.468852,0.6,1.0,2.904372,1.276442,1.34965,227,257
turtle_soup,london_open,435,435,435,0,10.682989,6.95351,0.282759,6.811082,67.563218,0.430786,0.448706,-0.203928,-0.203928,0.65152,0.001114,0.652634,0.282759,0.708046,0.491954,0.712644,1.0,3.770968,1.327922,1.46729,208,133
turtle_soup,ny_open,835,835,835,0,9.589873,5.644968,0.405988,5.276407,64.275449,0.73129,0.387383,-0.095029,-0.095029,0.482394,1.9e-05,0.482413,0.405988,0.673054,0.463473,0.586826,1.0,2.710204,1.254448,1.361757,319,378
