model,asian_failed_sweep_count_before_reclaim,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,38,1,1,1,0,15.370138,15.370138,1.0,3.273564,70.0,3.273564,1.0,0.300357,0.300357,0.699643,0.0,0.699643,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,0
turtle_soup,39,2,2,2,0,3.233485,3.233485,0.5,1.495418,60.0,0.185894,0.0,-0.343862,-0.343862,0.343862,0.0,0.343862,0.5,0.5,0.0,0.5,1.0,2.0,2.0,,0,2
turtle_soup,4,101,101,101,0,9.529999,6.16331,0.267327,6.601663,66.237624,0.208343,0.282293,-0.29808,-0.29808,0.579574,0.0008,0.580374,0.267327,0.633663,0.306931,0.722772,1.0,1.890411,1.1875,1.129032,44,38
turtle_soup,40,2,2,2,0,20.90116,20.90116,0.5,18.365784,60.0,-0.32859,-0.32859,-1.16466,-1.16466,0.836508,-0.000438,0.83607,0.5,0.0,0.0,0.5,1.0,1.0,,,1,1
turtle_soup,41,1,1,1,0,6.360329,6.360329,1.0,0.086491,50.0,0.086491,0.086491,-0.058864,-0.058864,0.145355,0.0,0.145355,1.0,0.0,0.0,0.0,1.0,,,,0,1
turtle_soup,45,1,1,1,0,3.148234,3.148234,1.0,0.548099,50.0,0.548099,1.0,0.89038,0.89038,0.116904,-0.007284,0.10962,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,0,1
turtle_soup,5,69,69,69,0,6.59275,4.105547,0.463768,3.93507,60.724638,0.280464,0.410171,-0.202683,-0.202683,0.612707,0.000147,0.612854,0.463768,0.652174,0.449275,0.536232,1.0,2.378378,1.488889,1.451613,21,42
turtle_soup,6,55,55,55,0,7.471481,6.191628,0.381818,4.901115,64.363636,0.289538,0.61239,0.065187,0.065187,0.542386,0.004817,0.547203,0.381818,0.781818,0.527273,0.618182,1.0,3.823529,1.069767,1.310345,22,24
turtle_soup,7,53,53,53,0,8.509801,5.435189,0.45283,5.977831,67.169811,0.829541,0.485588,-0.130815,-0.130815,0.617116,-0.000712,0.616404,0.45283,0.716981,0.509434,0.54717,1.0,2.275862,1.368421,1.407407,18,18
turtle_soup,8,54,54,54,0,7.72457,5.084776,0.481481,6.94786,63.518519,0.944807,0.385958,-0.237567,-0.237567,0.62221,0.001315,0.623525,0.481481,0.666667,0.481481,0.5,1.0,2.296296,1.388889,1.461538,21,22
turtle_soup,9,56,56,56,0,5.95716,3.902921,0.303571,4.132538,62.678571,0.122591,0.164141,-0.333738,-0.333738,0.497942,-6.3e-05,0.497879,0.303571,0.571429,0.428571,0.696429,1.0,3.692308,1.4375,1.625,22,30
