model,displacement_grade,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,strong,8,8,3,0,19.548946,20.608633,0.125,4.863237,71.75,0.681964,0.174316,-0.782454,-0.782454,0.358789,0.0,0.358789,0.125,0.125,0.125,0.25,9.0,1.0,1.0,1.0,2,3
ifvg_retest,valid,7,7,2,0,8.06492,8.06492,0.0,6.501998,70.142857,-1.0,-1.0,-2.381323,-2.381323,0.394664,0.0,0.394664,0.0,0.0,0.0,0.285714,3.714286,1.0,,,2,2
