scope,model,threshold,filter_name,filtered_out,count,activated_trades,invalidated_before_entry,avg_decision_score,avg_mfe_r,median_mfe_r,avg_rr,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,profit_factor,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,same_bar_ambiguous_count,no_trade_reason_count,top_no_trade_reasons
all,ALL,0,none,0,84,81,0,78.0,2.461341,1.36197,2.0,-0.306574,-0.070278,-1.586453,-1.586453,1.458047,0.003978,1.462026,0.047457,0.142857,0.428571,0.142857,0.702381,3,0,
model,silver_bullet,0,none,0,84,81,0,78.0,2.461341,1.36197,2.0,-0.306574,-0.070278,-1.586453,-1.586453,1.458047,0.003978,1.462026,0.047457,0.142857,0.428571,0.142857,0.702381,3,0,
