model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,15m,147,147,138,0,2.07747,1.192148,0.190476,2.0,78.0,-0.119301,-0.030381,-0.030381,0.190476,0.380952,0.190476,0.619048,1.190476,6.56044,4.803571,5.928571,5,0
silver_bullet,5m,373,373,345,0,1.785652,1.146128,0.187668,2.0,78.0,-0.06152,0.060267,0.060267,0.187668,0.404826,0.187668,0.576408,1.30563,6.293023,5.662252,7.657143,9,0
