model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,long,255,255,237,0,1.76746,1.032574,0.164706,2.0,78.0,-0.168452,-0.043601,-0.043601,0.164706,0.356863,0.164706,0.615686,1.301961,6.267516,5.120879,6.833333,10,0
silver_bullet,short,265,265,246,0,1.96688,1.259279,0.211321,2.0,78.0,0.009086,0.109484,0.109484,0.211321,0.437736,0.211321,0.562264,1.245283,6.483221,5.672414,7.410714,4,0
