model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,26,26,26,0,3.312413,1.437597,0.538462,1.479617,73.076923,-0.010285,0.2553,0.071696,0.071696,0.183604,0.0,0.183604,0.538462,0.461538,0.038462,0.423077,1.0,3.545455,9.166667,1.0,3,24
turtle_soup,short,38,38,38,0,3.616373,1.913954,0.605263,1.633955,74.210526,0.325679,0.402655,0.209907,0.209907,0.192749,0.0,0.192749,0.605263,0.5,0.131579,0.342105,1.0,4.153846,2.210526,2.4,3,31
