model,model_family,direction,symbol,timeframe,timestamp,entry_mode,stop_mode,target_mode,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,risk,risk_bps,same_bar_policy,same_bar_ambiguous,session_window,ny_time,swept_level,sweep_extreme,fvg_low,fvg_high,fvg_ce,ifvg_low,ifvg_high,ifvg_ce,ob_low,ob_high,breaker_low,breaker_high,time_to_retest_bars,target_distance_r,metadata_json,mfe_r,mae_r,invalidated,target_hit,target_before_invalidation
turtle_soup,ict,long,BTCUSDT,5m,1776740400000,close,sweep_extreme,opposite_range,75583.6,75583.6,75583.6,75417.98328,75417.98328,76232.3,165.61672000000544,21.911726882551957,conservative,False,,,75556.2,75433.1,,,,,,,,,,,,3.916875059474525,"{""close_back_distance_bps"": 3.6264396568393766, ""entry_mode"": ""close"", ""entry_price"": 75583.6, ""model_family"": ""ict"", ""risk"": 165.61672000000544, ""risk_bps"": 21.911726882551957, ""stop_loss"": 75417.98328, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 75433.1, ""sweep_swing_significance"": ""long"", ""swept_level"": 75556.2, ""target_mode"": ""opposite_range"", ""wick_extension_bps"": 16.29250809331217}",0.9268387877745372,0.8205693241600501,False,False,False
turtle_soup,ict,long,BTCUSDT,5m,1776740700000,close,sweep_extreme,opposite_range,75560.0,75560.0,75560.0,75505.888,75505.888,76232.3,54.111999999993714,7.161461090523255,conservative,False,,,75556.2,75521.0,,,,,,,,,,,,12.424231224129231,"{""close_back_distance_bps"": 0.502936886715175, ""entry_mode"": ""close"", ""entry_price"": 75560.0, ""model_family"": ""ict"", ""risk"": 54.111999999993714, ""risk_bps"": 7.161461090523255, ""stop_loss"": 75505.888, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 75521.0, ""sweep_swing_significance"": ""long"", ""swept_level"": 75556.2, ""target_mode"": ""opposite_range"", ""wick_extension_bps"": 4.658783792726089}",3.620269071555606,2.0753252513308684,True,False,False
turtle_soup,ict,long,BTCUSDT,5m,1776741900000,close,sweep_extreme,opposite_range,75589.7,75589.7,75589.7,75502.28206,75502.28206,76232.3,87.41793999999936,11.56479520357924,conservative,False,,,75532.0,75517.4,,,,,,,,,,,,7.350893878304734,"{""close_back_distance_bps"": 7.6391463220882665, ""entry_mode"": ""close"", ""entry_price"": 75589.7, ""model_family"": ""ict"", ""risk"": 87.41793999999936, ""risk_bps"": 11.56479520357924, ""stop_loss"": 75502.28206, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 75517.4, ""sweep_swing_significance"": ""short"", ""swept_level"": 75532.0, ""target_mode"": ""opposite_range"", ""wick_extension_bps"": 1.9329555685015387}",4.006042695583992,1.624380533332186,True,False,False
turtle_soup,ict,short,BTCUSDT,5m,1776742500000,close,sweep_extreme,opposite_range,75490.0,75490.0,75490.0,75639.99799999999,75639.99799999999,75433.1,149.99799999999232,19.869916545236762,conservative,False,,,75594.7,75624.9,,,,,,,,,,,,0.3793383911785297,"{""close_back_distance_bps"": 13.850177327246103, ""entry_mode"": ""close"", ""entry_price"": 75490.0, ""model_family"": ""ict"", ""risk"": 149.99799999999232, ""risk_bps"": 19.869916545236762, ""stop_loss"": 75639.99799999999, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 75624.9, ""sweep_swing_significance"": ""short"", ""swept_level"": 75594.7, ""target_mode"": ""opposite_range"", ""wick_extension_bps"": 3.994989066693444}",0.0,2.9993733249777814,True,False,False
turtle_soup,ict,long,BTCUSDT,5m,1776742800000,close,sweep_extreme,opposite_range,75514.1,75514.1,75514.1,75432.59718,75432.59718,76232.3,81.5028200000088,10.793059839157031,conservative,False,,,75453.8,75447.7,,,,,,,,,,,,8.811965033846922,"{""close_back_distance_bps"": 7.991645218663992, ""entry_mode"": ""close"", ""entry_price"": 75514.1, ""model_family"": ""ict"", ""risk"": 81.5028200000088, ""risk_bps"": 10.793059839157031, ""stop_loss"": 75432.59718, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 75447.7, ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 75453.8, ""target_mode"": ""opposite_range"", ""wick_extension_bps"": 0.8084417219551329}",5.312699609657105,0.0,False,False,False
turtle_soup,ict,long,BTCUSDT,5m,1776743100000,close,sweep_extreme,opposite_range,75599.3,75599.3,75599.3,75492.88014,75492.88014,76232.3,106.41986000000907,14.07683139923373,conservative,False,,,75532.0,75508.0,,,,,,,,,,,,5.94813787576817,"{""close_back_distance_bps"": 8.910130805486801, ""entry_mode"": ""close"", ""entry_price"": 75599.3, ""model_family"": ""ict"", ""risk"": 106.41986000000907, ""risk_bps"": 14.07683139923373, ""stop_loss"": 75492.88014, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 75508.0, ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 75532.0, ""target_mode"": ""opposite_range"", ""wick_extension_bps"": 3.177461208494413}",3.268186971867594,0.3805680631415654,False,False,False
ifvg_retest,ict,short,BTCUSDT,5m,1776743100000,edge,ce,fixed_r,75534.7,75534.7,75534.7,75574.30694,75574.30694,75455.48612,39.60693999999785,5.243542371916199,conservative,False,,,,,,,,75534.7,75583.7,75559.2,,,,,2,2.0,"{""breach_close"": 75490.0, ""breach_displacement_grade"": ""weak"", ""breach_time"": 1776742500000, ""entry_mode"": ""edge"", ""entry_price"": 75534.7, ""ifvg_ce"": 75559.2, ""ifvg_high"": 75583.7, ""ifvg_low"": 75534.7, ""model_family"": ""ict"", ""retest_depth"": 1.6020408163265305, ""risk"": 39.60693999999785, ""risk_bps"": 5.243542371916199, ""source_fvg_direction"": ""bullish"", ""stop_loss"": 75574.30694, ""stop_mode"": ""ce"", ""target_mode"": ""fixed_r"", ""time_to_retest_bars"": 2}",0.0,10.412316629359177,True,False,False
turtle_soup,ict,long,BTCUSDT,5m,1776743400000,close,sweep_extreme,opposite_range,75665.9,75665.9,75665.9,75584.16682,75584.16682,76232.3,81.73317999999563,10.801851296290089,conservative,False,,,75635.0,75599.3,,,,,,,,,,,,6.929866181641764,"{""close_back_distance_bps"": 4.085410193692627, ""entry_mode"": ""close"", ""entry_price"": 75665.9, ""model_family"": ""ict"", ""risk"": 81.73317999999563, ""risk_bps"": 10.801851296290089, ""stop_loss"": 75584.16682, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 75599.3, ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 75635.0, ""target_mode"": ""opposite_range"", ""wick_extension_bps"": 4.720037019897811}",3.4404632243603723,1.3103613489649735,True,False,False
turtle_soup,ict,long,BTCUSDT,5m,1776743700000,close,sweep_extreme,opposite_range,75669.1,75669.1,75669.1,75632.06618,75632.06618,76232.3,37.033820000011474,4.894180055004153,conservative,False,,,75655.6,75647.2,,,,,,,,,,,,15.207720942636287,"{""close_back_distance_bps"": 1.7844019477738593, ""entry_mode"": ""close"", ""entry_price"": 75669.1, ""model_family"": ""ict"", ""risk"": 37.033820000011474, ""risk_bps"": 4.894180055004153, ""stop_loss"": 75632.06618, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 75647.2, ""sweep_swing_significance"": ""intermediate"", ""swept_level"": 75655.6, ""target_mode"": ""opposite_range"", ""wick_extension_bps"": 1.1102945452826665}",7.506652027792809,2.9783587002358582,True,False,False
turtle_soup,ict,short,BTCUSDT,5m,1776743700000,close,sweep_extreme,opposite_range,75669.1,75669.1,75669.1,75695.13382,75695.13382,75433.1,26.033819999996922,3.4404823104803577,conservative,False,,,75674.9,75680.0,,,,,,,,,,,,9.065131432883376,"{""close_back_distance_bps"": 0.766436427400414, ""entry_mode"": ""close"", ""entry_price"": 75669.1, ""model_family"": ""ict"", ""risk"": 26.033819999996922, ""risk_bps"": 3.4404823104803577, ""stop_loss"": 75695.13382, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 75680.0, ""sweep_swing_significance"": ""short"", ""swept_level"": 75674.9, ""target_mode"": ""opposite_range"", ""wick_extension_bps"": 0.6739354792680031}",4.236796597657046,10.678417535345671,True,False,False
turtle_soup,ict,long,BTCUSDT,5m,1776744000000,close,sweep_extreme,opposite_range,75682.7,75682.7,75682.7,75637.46346,75637.46346,76232.3,45.23653999999806,5.977130837033835,conservative,False,,,75655.6,75652.6,,,,,,,,,,,,12.1494703175802,"{""close_back_distance_bps"": 3.582021687752297, ""entry_mode"": ""close"", ""entry_price"": 75682.7, ""model_family"": ""ict"", ""risk"": 45.23653999999806, ""risk_bps"": 5.977130837033835, ""stop_loss"": 75637.46346, ""stop_mode"": ""sweep_extreme"", ""sweep_extreme"": 75652.6, ""sweep_swing_significance"": ""long"", ""swept_level"": 75655.6, ""target_mode"": ""opposite_range"", ""wick_extension_bps"": 0.3965337661719688}",5.844832518137331,2.7389362670089157,True,False,False
