model,symbol,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,BTCUSDT,23,23,23,0,9.787818,5.364886,0.478261,5.471472,83.478261,1.000838,0.913043,0.448799,0.448799,0.461863,0.002381,0.464244,0.478261,0.956522,0.565217,0.521739,1.0,4.666667,1.590909,1.153846,7,9
turtle_soup,ETHUSDT,14,14,14,0,7.363143,5.910686,0.571429,4.331874,80.0,0.784724,0.857143,0.537197,0.537197,0.319946,0.0,0.319946,0.571429,0.928571,0.714286,0.428571,1.0,3.833333,1.0,1.2,4,9
