model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,299,299,299,0,6.138491,3.947851,0.35786,4.104351,64.180602,0.227107,0.475839,0.115987,0.115987,0.359343,0.000508,0.359852,0.35786,0.719064,0.41806,0.632107,1.0,3.592593,1.311628,1.68,107,153
turtle_soup,valid,392,392,392,0,13.12553,7.800566,0.354592,7.143887,67.959184,1.19736,0.336309,-0.350416,-0.350416,0.686693,3.2e-05,0.686725,0.354592,0.655612,0.589286,0.630102,1.0,2.809717,1.101167,1.168831,197,105
