model,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,07:00-10:00,64,64,64,0,3.852882,2.405383,0.515625,1.908029,75.0,0.032899,0.365576,0.142001,0.142001,0.223575,0.0,0.223575,0.515625,0.5625,0.171875,0.453125,1.0,3.482759,2.75,3.636364,9,51
turtle_soup,10:00-12:00,30,30,30,0,2.945639,1.476268,0.566667,1.545387,74.0,0.385793,0.35154,0.170567,0.170567,0.180974,0.0,0.180974,0.566667,0.466667,0.133333,0.333333,1.0,4.4,7.857143,2.25,2,25
