model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,long,260,260,97,0,33.396315,16.618559,0.107692,7.586053,70.596154,0.621013,0.408445,-1.343635,-1.343635,0.653485,0.000176,0.65366,0.107692,0.184615,0.153846,0.265385,6.030769,1.637681,1.0625,1.075,55,92
ifvg_retest,short,253,253,84,0,40.107127,17.19246,0.075099,7.303237,70.727273,0.109446,0.030914,-1.27282,-1.27282,0.4329,-4e-05,0.43286,0.075099,0.130435,0.106719,0.256917,6.916996,1.615385,1.272727,1.592593,51,89
