model,displacement_grade,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
ifvg_retest,strong,312,312,101,0,41.034895,14.305889,0.086538,7.096865,72.487179,0.468396,0.298555,-1.132851,-1.132851,0.463258,0.000114,0.463372,0.086538,0.150641,0.128205,0.237179,7.0,1.594595,1.085106,1.05,58,114
ifvg_retest,valid,201,201,80,0,30.798961,17.438307,0.099502,7.989407,67.825871,0.276546,0.150773,-1.535394,-1.535394,0.671111,0.0,0.671111,0.099502,0.169154,0.134328,0.298507,5.641791,1.666667,1.235294,1.62963,48,67
