model,session_label,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,ny_am,17,17,17,0,1.703477,1.077932,0.176471,2.0,78.0,-0.009454,-0.068745,-0.309105,-0.309105,0.24036,0.176471,0.411765,0.176471,0.588235,1.0,5.5,4.714286,12.0,0,0
silver_bullet,ny_pm,22,22,22,0,3.39208,1.659122,0.227273,2.0,78.0,-0.118501,0.152427,-0.208026,-0.208026,0.360453,0.227273,0.590909,0.227273,0.681818,1.0,12.0,9.076923,6.4,2,0
