model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,1h,47,47,47,0,3.64091,2.602538,0.553191,1.96882,75.106383,0.294968,0.510529,0.315487,0.315487,0.195042,0.0,0.195042,0.553191,0.680851,0.255319,0.404255,1.0,3.263158,2.625,3.416667,6,37
turtle_soup,30m,36,36,36,0,3.880823,2.000575,0.527778,1.578055,73.333333,-0.014316,0.347637,0.099481,0.099481,0.248156,0.0,0.248156,0.527778,0.527778,0.138889,0.444444,1.0,4.1875,1.947368,1.8,5,32
