model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,none,14,14,14,0,5.742076,3.995654,0.071429,5.186564,90.0,-0.028248,0.714286,0.362259,0.362259,0.352027,0.0,0.352027,0.071429,0.857143,0.571429,0.785714,1.0,3.636364,2.75,4.375,8,0
turtle_soup,target_rr_below_2,61,61,61,0,3.491367,1.935747,0.704918,0.925731,70.0,0.29454,0.434587,0.242732,0.242732,0.191855,0.0,0.191855,0.704918,0.57377,0.114754,0.278689,1.0,3.058824,2.285714,1.571429,2,61
turtle_soup,target_rr_below_3,8,8,8,0,2.183746,1.937407,0.125,2.532881,80.0,-0.527913,0.0,-0.183632,-0.183632,0.183632,0.0,0.183632,0.125,0.5,0.25,0.875,1.0,5.285714,2.0,2.0,1,8
