model,displacement_grade,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,none,120,120,101,16,12.463483,7.937089,0.533333,2.314901,44.916667,0.627044,0.533333,0.575,0.475,0.308333,3.573913,1.567568,1.0,1.052632,0,120
ifvg_retest,strong,63,63,60,0,16.04249,9.255758,0.222222,5.329708,71.968254,0.280224,0.222222,0.31746,0.285714,0.730159,2.65,1.413043,1.0,1.055556,0,33
ifvg_retest,valid,73,73,71,0,14.500448,8.549972,0.232877,5.316541,67.246575,0.202735,0.232877,0.328767,0.260274,0.739726,3.295775,1.351852,1.0,1.157895,0,31
mitigation_block,none,736,736,736,0,2.517195,1.298574,0.421196,0.919926,40.690217,-0.284552,0.421196,0.241848,0.115489,0.5625,1.0,3.094203,3.735955,4.352941,0,714
reclaimed_ob,none,21,21,21,0,14.662618,10.357659,0.809524,1.66087,39.904762,1.30864,0.809524,0.857143,0.714286,0.190476,1.47619,1.5,1.0,1.0,0,19
rejection_block,none,407,407,407,0,5.954877,3.995723,0.628993,1.931673,45.149877,0.577053,0.628993,0.685504,0.339066,0.353808,1.0,3.208333,1.44086,1.84058,0,326
silver_bullet,none,22,22,22,0,2.381866,1.63862,0.318182,2.0,68.0,0.363718,0.318182,0.590909,0.318182,0.5,1.090909,8.363636,3.384615,10.0,0,22
turtle_soup,none,1341,1341,1341,0,3.826072,2.523442,0.14094,6.617906,46.331096,0.146477,0.14094,0.459359,0.284116,0.744966,1.0,4.162162,2.827922,4.790026,0,321
