model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
breaker_block,long,71,71,63,7,12.569582,7.840312,0.535211,2.654755,46.028169,0.860966,0.535211,0.605634,0.492958,0.352113,3.318841,1.72,1.0,1.085714,0,71
breaker_block,short,49,49,38,9,12.287583,8.297103,0.530612,1.82246,43.306122,0.239224,0.530612,0.530612,0.44898,0.244898,3.956522,1.25,1.0,1.0,0,49
ifvg_retest,long,70,70,69,0,16.578931,9.064397,0.157143,5.479483,70.142857,-0.213622,0.157143,0.242857,0.185714,0.828571,3.188406,1.327586,1.0,1.076923,0,32
ifvg_retest,short,66,66,62,0,13.679596,8.689156,0.30303,5.156293,68.681818,0.741089,0.30303,0.409091,0.363636,0.636364,2.790323,1.452381,1.0,1.125,0,32
mitigation_block,long,383,383,383,0,2.762247,1.336533,0.409922,0.84306,41.028721,-0.294565,0.409922,0.287206,0.133159,0.56658,1.0,3.612903,3.790909,4.647059,0,371
mitigation_block,short,353,353,353,0,2.251318,1.266793,0.433428,1.003326,40.322946,-0.273688,0.433428,0.192635,0.096317,0.558074,1.0,2.522843,3.647059,3.911765,0,343
reclaimed_ob,long,12,12,12,0,10.029566,10.068772,0.75,1.255414,39.666667,0.770139,0.75,0.833333,0.666667,0.25,1.5,1.666667,1.0,1.0,0,11
reclaimed_ob,short,9,9,9,0,20.840021,20.751717,0.888889,2.201478,40.222222,2.026641,0.888889,0.888889,0.777778,0.111111,1.444444,1.0,1.0,1.0,0,8
rejection_block,long,202,202,202,0,6.161518,3.940087,0.618812,1.95043,44.881188,0.59383,0.618812,0.683168,0.306931,0.356436,1.0,3.111111,1.507246,1.483871,0,165
rejection_block,short,205,205,205,0,5.75126,4.170191,0.639024,1.91319,45.414634,0.560521,0.639024,0.687805,0.370732,0.35122,1.0,3.305556,1.375887,2.131579,0,161
silver_bullet,long,11,11,11,0,2.472079,1.682985,0.272727,2.0,68.0,0.208843,0.272727,0.636364,0.272727,0.545455,1.090909,11.0,3.142857,11.0,0,11
silver_bullet,short,11,11,11,0,2.291654,1.593353,0.363636,2.0,68.0,0.518593,0.363636,0.545455,0.363636,0.454545,1.090909,5.2,3.666667,9.25,0,11
turtle_soup,long,663,663,663,0,4.00105,2.560374,0.176471,6.14317,46.0181,0.244879,0.176471,0.47813,0.309201,0.72549,1.0,4.180873,2.712934,4.780488,0,176
turtle_soup,short,678,678,678,0,3.654965,2.429501,0.106195,7.082139,46.637168,0.050253,0.106195,0.441003,0.259587,0.764012,1.0,4.144788,2.949833,4.801136,0,145
