phase,start_date,end_date,count,activated_trades,managed_expectancy,gross_managed_expectancy,profit_factor,max_drawdown_r,win_rate,avg_execution_cost_r,session_overtrade_count,passed,failed_gates
overall,2022-08-18,2024-05-05,2,2,0.18881,0.5,inf,0.0,1.0,0.31119,0,False,min_managed_expectancy_r;min_phase_trades;min_total_trades
test,2022-08-18,2024-05-05,2,2,0.18881,0.5,inf,0.0,1.0,0.31119,0,False,min_phase_trades;min_managed_expectancy_r
