model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,530,530,530,0,6.33064,4.118589,0.320755,4.38292,65.339623,0.377549,0.517411,-0.003347,-0.003347,0.5208,-4.2e-05,0.520758,0.320755,0.754717,0.45283,0.658491,1.0,3.389685,1.3325,1.841667,193,215
turtle_soup,valid,674,674,674,0,13.329047,9.259736,0.283383,8.385184,69.643917,0.992768,0.310325,-0.709642,-0.709642,1.020172,-0.000205,1.019967,0.283383,0.652819,0.60089,0.700297,1.0,3.095339,1.084091,1.224691,402,99
