model,timeframe,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,15m,584,584,584,0,9.451892,5.956554,0.289384,6.708241,68.065068,0.785428,0.423868,-0.48056,-0.48056,0.904609,-0.00018,0.904429,0.289384,0.710616,0.553082,0.693493,1.0,3.649383,1.212048,1.513932,292,130
turtle_soup,30m,620,620,620,0,10.998568,6.264696,0.309677,6.543466,67.451613,0.662156,0.3804,-0.321654,-0.321654,0.702143,-8.9e-05,0.702054,0.309677,0.685484,0.519355,0.670968,1.0,2.802885,1.192941,1.39441,303,184
