model,session_date,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,2025-04-25,08:30-12:00,1,1,1,0,0.653022,0.653022,0.0,2.0,60.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2025-04-26,08:30-12:00,1,1,1,0,1.250841,1.250841,0.0,2.0,80.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,7.0,,,0,1
turtle_soup,2025-04-27,08:30-12:00,1,1,1,0,1.006663,1.006663,0.0,2.0,60.0,-1.0,1.0,0.875,0.875,0.125,0.0,1.0,0.0,1.0,1.0,18.0,17.0,,0,1
turtle_soup,2025-05-02,08:30-12:00,1,1,1,0,1.009703,1.009703,0.0,2.0,60.0,1.009703,1.0,0.875,0.875,0.125,0.0,1.0,0.0,0.0,1.0,,24.0,,0,1
turtle_soup,2025-05-03,08:30-12:00,1,1,1,0,0.496882,0.496882,0.0,2.0,60.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,21.0,,,0,1
turtle_soup,2025-05-06,08:30-12:00,1,1,1,0,4.543847,4.543847,1.0,2.0,60.0,2.0,1.0,0.875,0.875,0.125,1.0,1.0,1.0,0.0,1.0,,9.0,17.0,0,1
turtle_soup,2025-05-26,08:30-12:00,1,1,1,0,2.870506,2.870506,1.0,2.0,80.0,2.0,1.0,0.875,0.875,0.125,1.0,1.0,1.0,0.0,1.0,,1.0,19.0,0,1
turtle_soup,2025-05-29,08:30-12:00,1,1,1,0,0.102632,0.102632,0.0,2.0,60.0,-1.0,-1.0,-1.090198,-1.090198,0.090198,0.0,0.0,0.0,1.0,1.0,6.0,,,0,1
turtle_soup,2025-05-31,08:30-12:00,1,1,1,0,0.452569,0.452569,0.0,2.0,80.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,1.0,,,0,1
turtle_soup,2025-06-01,08:30-12:00,1,1,1,0,0.3246,0.3246,0.0,2.0,60.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,3.0,,,0,1
turtle_soup,2025-06-04,08:30-12:00,1,1,1,0,0.181644,0.181644,0.0,2.0,60.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,8.0,,,0,1
turtle_soup,2025-06-05,08:30-12:00,1,1,1,0,3.413175,3.413175,1.0,2.0,60.0,2.0,1.0,0.91449,0.91449,0.08551,1.0,1.0,1.0,0.0,1.0,,6.0,11.0,0,1
turtle_soup,2025-06-08,08:30-12:00,1,1,1,0,0.218599,0.218599,0.0,2.0,60.0,-1.0,-1.0,-1.125,-1.125,0.125,0.0,0.0,0.0,1.0,1.0,7.0,,,0,1
turtle_soup,2025-06-11,08:30-12:00,1,1,1,0,2.484096,2.484096,1.0,2.0,60.0,2.0,1.0,0.875,0.875,0.125,1.0,1.0,1.0,0.0,1.0,,4.0,8.0,0,1
