model,turtle_quality,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,strong,48,48,48,0,1.812072,1.114906,0.270833,2.0,61.666667,0.212668,0.029986,-0.083627,-0.083627,0.113614,0.270833,0.479167,0.270833,0.541667,1.0,6.346154,5.913043,9.923077,1,48
turtle_soup,valid,50,50,50,0,1.699812,0.955395,0.16,2.0,63.6,-0.202144,-0.170645,-0.289129,-0.289129,0.118484,0.16,0.38,0.16,0.7,1.0,4.942857,6.263158,9.25,2,50
