model,symbol,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,avg_funding_cost_r,avg_total_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,BTCUSDT,17,17,17,0,7.743378,5.364886,0.411765,4.793366,84.705882,1.016373,0.882353,0.393699,0.393699,0.485433,0.003222,0.488654,0.411765,0.941176,0.588235,0.588235,1.0,4.8,1.8125,1.2,6,6
turtle_soup,ETHUSDT,10,10,10,0,7.950293,6.142534,0.5,5.457629,83.0,0.728719,1.0,0.654791,0.654791,0.345209,0.0,0.345209,0.5,1.0,0.8,0.5,1.0,4.0,1.0,1.125,4,5
