model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,long,2144,2144,2144,0,10.955456,7.129401,0.260261,2.0,61.08209,-0.218527,-0.032426,-1.136332,-1.136332,1.103906,0.260261,0.471082,0.260261,0.739272,1.0,4.302208,3.488119,5.630824,227,2144
turtle_soup,short,2082,2082,2082,0,11.065701,7.528624,0.28194,2.0,60.806916,-0.154179,0.013929,-1.157012,-1.157012,1.170941,0.28194,0.487992,0.28194,0.71806,1.0,4.364548,3.34252,5.229983,206,2082
