model,session_window,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
turtle_soup,00:00-08:00,2458,2458,2458,0,12.193686,8.615173,0.265663,2.0,61.065907,-0.203011,-0.023393,-1.289268,-1.289268,1.265875,0.265663,0.473963,0.265663,0.734337,1.0,4.440997,3.509871,5.707504,232,2458
turtle_soup,08:30-12:00,1132,1132,1132,0,9.694178,6.288196,0.281802,2.0,61.413428,-0.154594,0.0,-0.915984,-0.915984,0.915984,0.281802,0.478799,0.281802,0.718198,1.0,3.96679,3.306273,5.053292,131,1132
turtle_soup,14:00-15:45,557,557,557,0,8.256646,5.427635,0.285458,2.0,62.226212,-0.140972,0.061002,-0.933145,-0.933145,0.994147,0.285458,0.51526,0.285458,0.712747,1.0,4.667506,3.296167,5.062893,60,557
turtle_soup,none,79,79,79,0,12.436025,7.95955,0.177215,2.0,41.518987,-0.468354,-0.21519,-1.512897,-1.512897,1.297708,0.177215,0.405063,0.177215,0.822785,1.0,3.846154,2.875,4.857143,10,79
