model,session_label,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,ny_am,6,6,6,0,1.212426,0.809849,0.333333,2.0,100.0,0.0,-0.166667,-0.166667,0.333333,0.333333,0.333333,0.666667,1.0,2.25,24.5,30.5,0,0
silver_bullet,ny_pm,3,3,3,0,1.737374,2.524708,0.333333,2.0,100.0,0.0,-0.166667,-0.166667,0.333333,0.333333,0.333333,0.666667,1.0,2.0,21.0,23.0,0,0
