model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,none,357,357,341,0,3.646439,2.03712,0.257703,2.0,78.0,-0.050031,0.103991,0.103991,0.257703,0.490196,0.257703,0.633053,1.142857,6.225664,5.485714,7.858696,22,0
silver_bullet,target_rr_below_2,2,2,2,0,0.236844,0.236844,0.0,2.0,58.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,5.5,,,0,2
