model,direction,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,managed_expectancy,avg_managed_outcome_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
silver_bullet,long,189,189,182,0,3.407422,1.738115,0.201058,2.0,77.78836,-0.243679,-0.026105,-0.026105,0.201058,0.449735,0.201058,0.698413,1.126984,6.007576,5.494118,8.210526,14,2
silver_bullet,short,170,170,161,0,3.874277,2.408465,0.317647,2.0,78.0,0.157076,0.237341,0.237341,0.317647,0.529412,0.317647,0.564706,1.158824,6.510417,5.477778,7.611111,8,0
