model,no_trade_reasons,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
rejection_block,none,20,20,2,0,0.587145,0.587145,0.0,24.114832,99.4,-1.0,-1.0,-1.078641,-1.078641,0.007864,0.0,0.0,0.0,0.1,4.666667,4.0,,,0,0
rejection_block,target_rr_below_2,1,1,1,0,0.045897,0.045897,0.0,0.457053,85.0,0.045897,-0.158518,-0.162374,-0.162374,0.003856,0.0,0.0,0.0,0.0,2.0,,,,0,1
