model,htf_location,count,total_setups,activated_trades,invalidated_before_entry,avg_mfe_r,median_mfe_r,win_rate,avg_rr,avg_decision_score,expectancy,gross_managed_expectancy,managed_expectancy,avg_managed_outcome_r,avg_execution_cost_r,target_before_invalidation_rate,hit_1r_before_invalidation_rate,hit_2r_before_invalidation_rate,invalidation_rate,avg_time_to_entry,avg_time_to_invalidation,avg_time_to_1r,avg_time_to_2r,same_bar_ambiguous_count,no_trade_reason_count
rejection_block,discount,12,12,2,0,0.461802,0.461802,0.0,23.382822,98.0,-0.477051,-0.579259,-0.617622,-0.617622,0.006394,0.0,0.0,0.0,0.083333,4.5,5.0,,,0,1
rejection_block,premium,9,9,1,0,0.296583,0.296583,0.0,22.462203,99.666667,-1.0,-1.0,-1.084411,-1.084411,0.009379,0.0,0.0,0.0,0.111111,4.555556,3.0,,,0,0
